Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSSleepingAppMaster,main,Empty catch clause,The method has an empty catch block.,29
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSSleepingAppMaster,main,Magic Number,The method contains a magic number: 2,29
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSSleepingAppMaster,main,Magic Number,The method contains a magic number: 100,29
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSSleepingAppMaster,main,Magic Number,The method contains a magic number: 2,29
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,run,Long Statement,The length of the statement "LOG.info("NumAllocatedContainers is " + numAllocatedContainers.get() + " and NumRequestedContainers is "+ numAllocatedContainers.get()+ ".Application Master failed. exiting");" is 175.,31
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,run,Magic Number,The method contains a magic number: 2,31
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,run,Magic Number,The method contains a magic number: 200,31
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,Empty catch clause,The method has an empty catch block.,52
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,Magic Number,The method contains a magic number: 3000,52
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,Magic Number,The method contains a magic number: 100,52
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,Magic Number,The method contains a magic number: 2,52
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ContainerLaunchFailAppMaster,main,Magic Number,The method contains a magic number: 2,59
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,setup,Magic Number,The method contains a magic number: 128,71
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,setup,Magic Number,The method contains a magic number: 2000,71
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithDomain,Magic Number,The method contains a magic number: 90000,133
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithoutDomain,Magic Number,The method contains a magic number: 90000,138
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Complex Method,Cyclomatic complexity of the method is 10,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 206.,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Long Statement,The length of the statement "String[] domainArgs={"--domain"`"TEST_DOMAIN"`"--view_acls"`"reader_user reader_group"`"--modify_acls"`"writer_user writer_group"`"--create"};" is 142.,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Long Statement,The length of the statement "errorMessage="Expected host name to start with '" + hostName + "'` was '"+ appReport.getHost()+ "'. Expected rpc port to be '-1'` was '"+ appReport.getRpcPort()+ "'.";" is 167.,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Long Statement,The length of the statement "TimelineEntities entitiesAttempts=yarnCluster.getApplicationHistoryServer().getTimelineStore().getEntities(ApplicationMaster.DSEntity.DS_APP_ATTEMPT.toString()`null`null`null`null`null`null`null`null);" is 201.,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Long Statement,The length of the statement "Assert.assertEquals(entitiesAttempts.getEntities().get(0).getEntityType().toString()`ApplicationMaster.DSEntity.DS_APP_ATTEMPT.toString());" is 139.,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Long Statement,The length of the statement "TimelineEntities entities=yarnCluster.getApplicationHistoryServer().getTimelineStore().getEntities(ApplicationMaster.DSEntity.DS_CONTAINER.toString()`null`null`null`null`null`null`null`null);" is 191.,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Long Statement,The length of the statement "Assert.assertEquals(entities.getEntities().get(0).getEntityType().toString()`ApplicationMaster.DSEntity.DS_CONTAINER.toString());" is 129.,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Magic Number,The method contains a magic number: 10,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Magic Number,The method contains a magic number: 10,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Magic Number,The method contains a magic number: 2,143
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Magic Number,The method contains a magic number: 2,143
