Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,run,Magic Number,The method contains a magic number: 2,31
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,run,Magic Number,The method contains a magic number: 200,31
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,Empty catch clause,The method has an empty catch block.,49
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,Magic Number,The method contains a magic number: 3000,49
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,Magic Number,The method contains a magic number: 100,49
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,Magic Number,The method contains a magic number: 2,49
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ContainerLaunchFailAppMaster,main,Magic Number,The method contains a magic number: 2,59
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,setup,Magic Number,The method contains a magic number: 128,65
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,setup,Magic Number,The method contains a magic number: 2000,65
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"2"`"--shell_command"`Shell.WINDOWS ? "dir" : "ls"`"--master_memory"`"512"`"--master_vcores"`"2"`"--container_memory"`"128"`"--container_vcores"`"1"};" is 206.,113
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Magic Number,The method contains a magic number: 90000,113
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,Magic Number,The method contains a magic number: 10,113
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSRestartWithPreviousRunningContainers,Long Statement,The length of the statement "String[] args={"--jar"`APPMASTER_JAR`"--num_containers"`"1"`"--shell_command"`Shell.WINDOWS ? "timeout 8" : "sleep 8"`"--master_memory"`"512"`"--container_memory"`"128"`"--keep_containers_across_application_attempts"};" is 218.,177
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSRestartWithPreviousRunningContainers,Magic Number,The method contains a magic number: 90000,177
