Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 36
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,TestUnmanagedAMLauncher,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
hadoop,org.apache.hadoop.yarn.applications.unmanagedamlauncher,UnmanagedAMLauncher,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
hadoop,org.apache.hadoop.yarn.util,TestCompositeService.CompositeServiceAddingAChild,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
hadoop,org.apache.hadoop.yarn.util,TestCompositeService.CompositeServiceImpl,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
hadoop,org.apache.hadoop.yarn.util,TestCompositeService.ServiceManager,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.ProcessStatInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
hadoop,org.apache.hadoop.yarn.util,TestRackResolver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: resolvedHost1 (45)
hadoop,org.apache.hadoop.yarn.util,TestRackResolver.MyResolver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
hadoop,org.apache.hadoop.yarn.util,TestRackResolver.MyResolver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: resolvedHost1 (45)
hadoop,org.apache.hadoop.yarn.util,TestResourceCalculatorProcessTree.EmptyProcessTree,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
hadoop,org.apache.hadoop.yarn.util,ConverterUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
hadoop,org.apache.hadoop.yarn.util,FSDownload,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
hadoop,org.apache.hadoop.yarn.api.records,ResourceRequest.ResourceRequestComparator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
hadoop,org.apache.hadoop.yarn.api,ApplicationClientProtocol,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRM,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
hadoop,org.apache.hadoop.yarn.server.resourcemanager,MockNM,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 44
hadoop,org.apache.hadoop.yarn.server.resourcemanager,TestRMRestart.TestSecurityMockRM,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
hadoop,org.apache.hadoop.yarn.server.resourcemanager,Application,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 29
