Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.LaunchContainerRunnable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: container; cm
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.LaunchContainerRunnable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,DSConstants,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DISTRIBUTEDSHELLSCRIPTLOCATION; DISTRIBUTEDSHELLSCRIPTTIMESTAMP; DISTRIBUTEDSHELLSCRIPTLEN
hadoop,org.apache.hadoop.yarn.applications.distributedshell,DSConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DISTRIBUTEDSHELLSCRIPTLOCATION; DISTRIBUTEDSHELLSCRIPTTIMESTAMP; DISTRIBUTEDSHELLSCRIPTLEN
hadoop,org.apache.hadoop.yarn.util,ProtoUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
hadoop,org.apache.hadoop.yarn.util,TestCompositeService.CompositeServiceImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: counter; callSequenceNumber; throwExceptionOnStart; throwExceptionOnStop
hadoop,org.apache.hadoop.yarn.util,TestCompositeService.CompositeServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestCompositeService.ServiceManager,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,TestCompositeService.ServiceManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.RogueTaskThread,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.RogueTaskThread,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.ProcessStatInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestProcfsBasedProcessTree.ProcessStatInfo,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: pid; name; ppid; pgrpId; session; vmem; rssmemPage; utime; stime
hadoop,org.apache.hadoop.yarn.util,TestLinuxResourceCalculatorPlugin.FakeLinuxResourceCalculatorPlugin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: currentTime
hadoop,org.apache.hadoop.yarn.util,TestLinuxResourceCalculatorPlugin.FakeLinuxResourceCalculatorPlugin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestRackResolver.MyResolver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: numHost1
hadoop,org.apache.hadoop.yarn.util,TestRackResolver.MyResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,TestResourceCalculatorProcessTree.EmptyProcessTree,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.util,TestResourceCalculatorProcessTree.EmptyProcessTree,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; PROCFS; PROCFS_STAT_FILE_FORMAT; PROCFS_STAT_FILE; PROCFS_CMDLINE_FILE; PAGE_SIZE; JIFFY_LENGTH_IN_MILLIS; procfsDir; deadPid; pid; numberPattern; cpuTime; processTree; PROCESSTREE_DUMP_FORMAT; pid; name; pgrpId; ppid; sessionId; vmem; rssmemPage; utime; MAX_LONG; stime; age; dtime; children
hadoop,org.apache.hadoop.yarn.util,ProcfsBasedProcessTree.ProcessInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
