Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSSleepingAppMaster,main,31,4,1,29,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShellWithNodeLabels,setup,4,1,0,44,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShellWithNodeLabels,initializeNodeLabels,18,2,0,50,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShellWithNodeLabels,testDSShellWithNodeLabelExpression,18,1,0,81,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShellWithNodeLabels,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShellWithNodeLabels
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,run,9,3,0,31,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,main,31,4,1,52,0,org.apache.hadoop.yarn.applications.distributedshell.TestDSFailedAppMaster,org.apache.hadoop.yarn.applications.distributedshell.TestDSFailedAppMaster
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ContainerLaunchFailAppMaster,ContainerLaunchFailAppMaster,3,1,0,33,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ContainerLaunchFailAppMaster,createNMCallbackHandler,3,1,0,37,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ContainerLaunchFailAppMaster,main,25,3,1,59,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,setup,3,1,0,69,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,setupInternal,35,3,1,74,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,tearDown,12,2,0,124,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithDomain,3,1,0,141,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithoutDomain,3,1,0,146,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShell,84,10,1,151,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,run,8,1,0,190,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,checkHostname,11,2,1,285,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,compareFQDNs,8,2,2,304,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,checkIPs,18,5,3,314,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSRestartWithPreviousRunningContainers,10,1,0,336,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSAttemptFailuresValidityIntervalSucess,12,1,0,371,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSAttemptFailuresValidityIntervalFailed,12,1,0,409,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithCustomLogPropertyFile,34,3,0,441,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithCommands,13,1,0,504,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithMultipleArgs,13,1,0,536,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithShellScript,27,3,0,570,0,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell,org.apache.hadoop.yarn.applications.distributedshell.TestDistributedShell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDSShellWithInvalidArgs,65,1,0,618,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,waitForNMsToRegister,10,3,0,768,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testContainerLaunchFailureHandling,11,1,0,780,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,testDebugFlag,8,1,0,808,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShell,verifyContainerLog,58,13,4,835,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,main,29,3,1,197,0,org.apache.hadoop.yarn.applications.distributedshell.Client,org.apache.hadoop.yarn.applications.distributedshell.Client
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,3,1,1,228,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,33,1,2,236,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Client,3,1,0,292,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,printUsage,3,1,0,298,0,,
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,init,95,21,1,305,0,org.apache.hadoop.yarn.applications.distributedshell.Client,org.apache.hadoop.yarn.applications.distributedshell.Client
