Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSSleepingAppMaster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShellWithNodeLabels,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShellWithNodeLabels.NMContainerMonitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: SAMPLING_INTERVAL_MS; maxRunningContainersOnNMs
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDistributedShellWithNodeLabels.NMContainerMonitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,TestDSFailedAppMaster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ContainerLaunchFailAppMaster,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ContainerLaunchFailAppMaster.FailContainerLaunchNMCallbackHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ContainerLaunchFailAppMaster.FailContainerLaunchNMCallbackHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,Client,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; conf; yarnClient; appName; amPriority; amQueue; amMemory; amVCores; appMasterJar; appMasterMainClass; shellCommand; shellScriptPath; shellArgs; shellEnv; shellCmdPriority; containerMemory; containerVirtualCores; numContainers; nodeLabelExpression; log4jPropFile; clientStartTime; clientTimeout; keepContainers; attemptFailuresValidityInterval; debugFlag; domainId; toCreateDomain; viewACLs; modifyACLs; opts; shellCommandPath; shellArgsPath; appMasterJarPath; log4jPath; SCRIPT_PATH
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.DSEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.DSEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.DSEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.DSEntity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.RMCallbackHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.RMCallbackHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoop,org.apache.hadoop.yarn.applications.distributedshell,ApplicationMaster.NMCallbackHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: containers; applicationMaster
